chunk_size,epochs,best_selection_score,train_total,combined_val_total,combined_val_xyz_mae,combined_val_gripper_accuracy,combined_val_phase_accuracy,combined_val_grounding_cm,action_query_initialization
1,30,0.3100761777338743,0.15924027008004488,0.24010032150480481,0.02271324788323707,0.9923611111111111,0.9581018518518518,0.8363246300706157,reinitialized
5,30,0.3345281879622178,0.17039494464794794,0.2524211208853457,0.020769274986728474,0.9930067638556163,0.9641922844780816,0.8000777969757716,reinitialized
10,30,0.33880283829103147,0.16903148745704027,0.24623915707623517,0.01959313190438681,0.9937209422941561,0.9698353948416534,0.8106120982655772,reinitialized
20,30,0.33733591288383113,0.16971783364812534,0.24731666321555773,0.01889773811110192,0.992275274682928,0.9711185355981191,0.784965475179531,full_warmstart
