chunk_size,level_cm,paired_episodes,temporal_success_rate,latest_only_success_rate,temporal_gain_percentage_points,gain_ci95_lower_percentage_points,gain_ci95_upper_percentage_points,temporal_only_successes,latest_only_successes,exact_mcnemar_p
1,0,120,0.9666666666666667,0.9666666666666667,0.0,0.0,0.0,0,0,1.0
1,4,120,0.85,0.85,0.0,0.0,0.0,0,0,1.0
5,0,120,0.975,0.9583333333333334,1.6666666666666607,0.0,4.1666666666666625,2,0,0.5
5,4,120,0.8916666666666667,0.8833333333333333,0.8333333333333415,-3.3333333333333326,5.000000000000004,4,3,1.0
10,0,120,0.9833333333333333,0.9916666666666667,-0.8333333333333415,-2.500000000000002,0.0,0,1,1.0
10,4,120,0.95,0.925,2.499999999999991,-1.6666666666666718,6.666666666666665,5,2,0.453125
20,0,120,0.9916666666666667,0.975,1.6666666666666718,0.0,4.166666666666674,2,0,0.5
20,4,120,0.9083333333333333,0.9416666666666667,-3.3333333333333326,-9.166666666666668,2.499999999999991,4,8,0.3876953125
