count,episodes,task_successes,task_success_rate,task_ci95_lower,task_ci95_upper,collision_aware_successes,collision_aware_success_rate,collision_aware_ci95_lower,collision_aware_ci95_upper,ood_wrong_object_contact_rate,ood_target_selection_failure_rate,ood_target_collision_rate,ood_any_collision_rate,mean_grounding_error_cm,mean_steps
0,120,115,0.9583333333333334,0.9061591476629647,0.9820732831198906,114,0.95,0.8951971146376326,0.9768856355855343,0.0,0.0,0.0,0.0,0.7646492981109724,87.375
1,120,117,0.975,0.9290699666721339,0.9914618252300978,116,0.9666666666666667,0.917419662440894,0.9869624489016494,0.0,0.05,0.0,0.0,1.1573355164827583,87.825
2,120,112,0.9333333333333333,0.8739486959646967,0.9658346931390938,112,0.9333333333333333,0.8739486959646967,0.9658346931390938,0.008333333333333333,0.05,0.008333333333333333,0.016666666666666666,1.456562176088507,93.14166666666667
3,120,111,0.925,0.8635908239400624,0.9600428846040397,111,0.925,0.8635908239400624,0.9600428846040397,0.008333333333333333,0.08333333333333333,0.008333333333333333,0.016666666666666666,1.7917068793579916,95.98333333333333
