epoch,chunk_size,training_seed,train_total,train_phase_family_accuracy,combined_val_total,combined_val_xyz_mae,combined_val_gripper_accuracy,combined_val_phase_accuracy,combined_val_phase_family_accuracy,combined_val_grounding_cm,combined_val_target_selection_accuracy,clean_val_total,clean_val_xyz_mae,clean_val_gripper_accuracy,clean_val_phase_accuracy,clean_val_phase_family_accuracy,clean_val_lift_transition_joint_accuracy,clean_val_grounding_cm,clean_val_target_selection_accuracy,initial_clean_total,initial_clean_grounding_cm,initial_clean_target_selection_accuracy,initial_clean_phase_family_accuracy,selection_score,main_lr,vision_lr,best_selection_score,clean_pick_A_first_action_mae,clean_pick_A_grounding_cm,clean_pick_B_first_action_mae,clean_pick_B_grounding_cm,clean_pick_C_first_action_mae,clean_pick_C_grounding_cm,clean_push_A_first_action_mae,clean_push_A_grounding_cm,clean_push_B_first_action_mae,clean_push_B_grounding_cm,clean_push_C_first_action_mae,clean_push_C_grounding_cm
1,1,20261201,0.2996897883247584,0.9981011284722222,0.28516227498098656,0.033661944898604246,0.9888888888888889,0.9443287037037037,0.9947916666666666,0.919943897370939,1.0,0.25016796075635483,0.02753175606744157,0.9888888888888889,0.9585069444444444,0.9940972222222222,0.9833333333333333,0.8504685491323472,1.0,0.7363114194796149,0.7889262400897203,1.0,0.9469026548672567,0.3628949467683964,1.3500000000000001e-05,3.375e-07,0.3628949467683964,0.017609104628597074,0.9356296772758166,0.013903568114619702,0.8137558391938607,0.013963163467512156,0.9080426253378391,0.020414803896953042,0.8198521153380474,0.027308295886420333,0.7169708214700222,0.0214277789365345,0.9085602247466643
2,1,20261201,0.23172669840666155,0.9999782986111111,0.2791493675774998,0.03173590431127835,0.9883101851851852,0.944212962962963,0.9943287037037037,0.9546373519632552,1.0,0.24672485370602873,0.025872862571850418,0.9881944444444445,0.9578125,0.99375,0.9833333333333333,0.8934169461329778,1.0,0.7572011182793473,0.8551938064330447,1.0,0.9292035403504836,0.3635474607821338,2e-05,5e-07,0.3628949467683964,0.01723004993982613,0.9755125561108192,0.013140715253151332,0.8777632691587011,0.01343005468758444,0.8981425474087398,0.01856506784679368,0.9144570387899875,0.02674698213619801,0.7666670863206188,0.020991574852572133,0.927959180995822
3,1,20261201,0.22388983389052253,0.9999891493055556,0.2816305696136422,0.03303051342911743,0.977662037037037,0.9386574074074074,0.9945601851851852,0.9580481204721663,1.0,0.2552129016982185,0.028003965757994187,0.9776041666666667,0.9491319444444445,0.9942708333333333,0.9666666666666667,0.895096923576461,1.0,0.7081144471875335,0.8458329328393515,1.0,0.9469026548672567,0.36371851117070864,1.9938694046459116e-05,4.984673511614778e-07,0.3628949467683964,0.017951827079135303,0.9051955917229255,0.014937221225894366,0.827210859209299,0.01484189430969612,0.9274575613439083,0.01986510167286421,0.8881194335718949,0.02700307364187514,0.7321673011407256,0.021219669536609823,1.0904307807485263
4,1,20261201,0.2146048189813478,1.0,0.26455293209464464,0.029893931777526934,0.9876157407407408,0.9392361111111112,0.9959490740740741,0.9327586072462576,1.0,0.2382288057770994,0.025236334631012547,0.9859375,0.9513888888888888,0.9953125,0.9166666666666666,0.8828733295202256,1.0,0.6990737272838575,0.7884850106408111,1.0,0.9380530973451328,0.3632950279737146,1.9755547143772783e-05,4.938886785943195e-07,0.3628949467683964,0.015955900880120073,1.007022240012884,0.011682890735877057,0.795679205780228,0.012548399111256003,0.868345158547163,0.01896119204466231,1.0210195615887643,0.024976588744902984,0.6984834057589372,0.020019831172733878,0.9066904080410798
5,1,20261201,0.20858280460557177,1.0,0.26273467783574705,0.030103331193741825,0.9900462962962963,0.9475694444444445,0.9945601851851852,0.9467486902519509,1.0,0.24077107579343848,0.0260437635342694,0.9899305555555555,0.9571180555555555,0.99375,0.9833333333333333,0.8925802210966746,1.0,0.6928745932811129,0.7318343446318027,1.0,0.9557522123893806,0.3427808599036659,1.9452862470506586e-05,4.863215617626646e-07,0.3427808599036659,0.017009616843036687,1.0195999026298523,0.01362104135332629,0.8147070058311026,0.014212193594236549,0.856683678055803,0.01844165607083899,0.8835924627880255,0.024003517414287974,0.7578324465701978,0.019274062187954164,1.0230658233165741
6,1,20261201,0.2035947429921685,1.0,0.26154693351299674,0.02913502476833485,0.9878472222222222,0.9480324074074075,0.9961805555555555,0.8557148357232411,1.0,0.23575678803026676,0.025020379847329525,0.9878472222222222,0.9616319444444444,0.9953125,0.9666666666666667,0.7986316684219572,1.0,0.6828628872084407,0.6436977291529158,1.0,0.9557522123893806,0.34291505151072055,1.903444646204859e-05,4.7586116155121463e-07,0.3427808599036659,0.015902897773776202,0.9028240635991096,0.011979255406185985,0.765083008694152,0.012758579381625168,0.7994868192200859,0.018231649483398844,0.8416362464427948,0.02457803294916327,0.6520772769426306,0.019888957124203445,0.8306825593113899
7,1,20261201,0.20011190557593686,1.0,0.2614045386789022,0.02781188501286562,0.9884259259259259,0.9447916666666667,0.9957175925925926,0.9193830306883212,1.0,0.23844404849741194,0.0239967698800481,0.9887152777777778,0.9536458333333333,0.9949652777777778,0.9833333333333333,0.8513751424021191,1.0,0.6892144913430762,0.7866285986604944,1.0,0.9557522123893806,0.3404862841209919,1.850556094247577e-05,4.626390235618942e-07,0.3404862841209919,0.01621693279982234,0.9299299525717895,0.012792590252744655,0.7808318159232537,0.012811598996631802,0.8745793553690115,0.017473090401229758,0.9123416109631459,0.022798087185947224,0.6737703733146191,0.01840827691097123,0.9367977449049553
8,1,20261201,0.1969552218551851,1.0,0.2579488841747796,0.026435117880572324,0.9886574074074074,0.950462962962963,0.9958333333333333,0.8488885027390939,1.0,0.23446701342860857,0.02253437371044937,0.9876736111111111,0.9598958333333333,0.9951388888888889,0.9833333333333333,0.7830465642942323,1.0,0.6982150814965763,0.6466021390087837,1.0,0.9557522123893806,0.33926118826605345,1.7872856954063294e-05,4.4682142385158226e-07,0.33926118826605345,0.014646246991469524,0.8673733764638504,0.011507820242938276,0.7664984987427791,0.012022061948664486,0.8119754196455081,0.016593275139651573,0.813021956011653,0.023173267508779342,0.6561861916755637,0.017719824709153422,0.7832239508628845
9,1,20261201,0.19419724651767561,1.0,0.25414746301593605,0.027036140957433317,0.9912037037037037,0.9501157407407408,0.996875,0.8862467478822779,1.0,0.22905553169548512,0.02331492421734664,0.9911458333333333,0.9592013888888888,0.9961805555555555,0.9833333333333333,0.8262835578786002,1.0,0.6787400626766998,0.8010927924012716,1.0,0.9557522123893806,0.33152001728786334,1.714429111656884e-05,4.286072779142209e-07,0.33152001728786334,0.015554142865585163,0.8495960569630067,0.012504817071991662,0.8014035956934095,0.012382758148790647,0.8249363226195177,0.017662056851744032,0.8407176790138086,0.021633390304244434,0.7507515432933967,0.01808212785399519,0.8902961347252131
10,1,20261201,0.19051129837882602,1.0,0.24377509104432882,0.026112970899514577,0.9896990740740741,0.9515046296296297,0.9971064814814815,0.931888817416297,1.0,0.21991858784523274,0.022706047018679478,0.9894097222222222,0.9595486111111111,0.9963541666666667,0.9833333333333333,0.87647754781776,1.0,0.6611600679106417,0.7885992674700981,1.0,0.9557522123893806,0.3203238348180434,1.6329025568122654e-05,4.082256392030663e-07,0.3203238348180434,0.01427006908537199,0.9223363959540923,0.011677541557583026,0.8282845914363861,0.011796200686755279,0.865877595419685,0.016742375553197537,0.922424995029966,0.023128346571077905,0.7647545785953601,0.01765036645423,0.9551871104786793
