epoch,train_total,train_phase_family_accuracy,combined_val_total,combined_val_xyz_mae,combined_val_gripper_accuracy,combined_val_phase_accuracy,combined_val_phase_family_accuracy,combined_val_grounding_cm,combined_val_target_selection_accuracy,clean_val_total,clean_val_xyz_mae,clean_val_gripper_accuracy,clean_val_phase_accuracy,clean_val_phase_family_accuracy,clean_val_lift_transition_joint_accuracy,clean_val_grounding_cm,clean_val_target_selection_accuracy,initial_clean_total,initial_clean_grounding_cm,initial_clean_target_selection_accuracy,initial_clean_phase_family_accuracy,selection_score,main_lr,vision_lr,best_selection_score,clean_pick_A_first_action_mae,clean_pick_A_grounding_cm,clean_pick_B_first_action_mae,clean_pick_B_grounding_cm,clean_pick_C_first_action_mae,clean_pick_C_grounding_cm,clean_push_A_first_action_mae,clean_push_A_grounding_cm,clean_push_B_first_action_mae,clean_push_B_grounding_cm,clean_push_C_first_action_mae,clean_push_C_grounding_cm
1,0.25450340593233706,0.9987164016813039,0.2626054444246822,0.025084453869473052,0.9911205075405262,0.9635703678484316,0.9940976878007253,0.9337311519516839,1.0,0.23571140989661216,0.01923244873372217,0.9914657639132606,0.9716722104284499,0.9933314247263803,0.9833333333333333,0.8611006561252806,1.0,0.7758867935796755,0.7684030786024786,1.0,0.9486725562441666,0.3568146969916458,1.3500000000000001e-05,3.375e-07,0.3568146969916458,0.01605809767691729,1.0059728485842545,0.011884991812015263,0.7940069530159235,0.012668217075406574,0.8977702368050814,0.018277581276682515,0.8531471289694309,0.023824568665198362,0.7180813250442346,0.0181740154667447,0.8976254413525263
2,0.21625429112981592,0.9999975090639459,0.25597842595091574,0.023771405178639623,0.9918671945730845,0.9655784512007678,0.994566586944792,0.904577601397479,1.0,0.2334464431222942,0.018854127436255416,0.9917681982119878,0.9714872926473618,0.9937125109963947,0.9833333333333333,0.8402915858560138,1.0,0.7595715570238839,0.7182381052886491,1.0,0.9491150489950602,0.3504310607511986,2e-05,5e-07,0.3504310607511986,0.015590596329032754,0.9324829472849766,0.011291730417481934,0.7870669291044275,0.012144536873771964,0.822690582772096,0.017619627262077605,0.9293922033160925,0.023506419089001914,0.7481884798655908,0.01859100047343721,0.8219283593197664
3,0.21293083642505936,0.9999994212968482,0.2609369784593582,0.02455451445033153,0.9918799462141814,0.9628891885280609,0.9943663076118187,0.8978602181982112,1.0,0.23854745539526145,0.01977726328962793,0.9918717698918449,0.9697301036781735,0.9933998174137539,0.9833333333333333,0.829031197892295,1.0,0.7330630229110211,0.7226656485447841,1.0,0.9553097412649509,0.34916742581764243,1.9938694046459116e-05,4.984673511614778e-07,0.34916742581764243,0.0157995178985099,0.8376410649468501,0.012178612510130431,0.7930520817637443,0.012458917506349584,0.8438293430954218,0.016868545417673887,0.7772269173214833,0.022626276013518996,0.7960809300343196,0.018053389257208133,0.9263568644722303
4,0.20781307917916111,1.0,0.2554061893787649,0.02348850507772079,0.9918505355163857,0.9659421028914275,0.9945567510746144,0.9374250522366276,1.0,0.2349115447865592,0.01910169029401408,0.9916664047373666,0.9719778421852324,0.9937798202037811,0.9833333333333333,0.8690236972437965,1.0,0.7551308884821107,0.7632843255996704,1.0,0.9539823009904507,0.3501038069033312,1.9755547143772783e-05,4.938886785943195e-07,0.34916742581764243,0.015696063622211417,1.012266560519735,0.012998371924428891,0.7948992118239403,0.012557007058057934,0.8459757260978222,0.018042813612070555,0.9760271004090707,0.025522681292689715,0.6825813154379526,0.017990763660054653,0.9023922134190798
5,0.20474683228983648,1.0,0.2501538999930576,0.022859097679180127,0.9926024999883439,0.9664226779231319,0.9947374531516322,0.8794493893782298,1.0,0.23300501844949192,0.018712614013606476,0.9924974133570988,0.9716409703095754,0.9938499861293368,0.9666666666666667,0.8092304865519205,1.0,0.7509766703685828,0.7060502619869942,1.0,0.9499999944087678,0.35174401329637983,1.9452862470506586e-05,4.863215617626646e-07,0.34916742581764243,0.016265313420444728,0.9188224822282791,0.012484754621982574,0.804550181205074,0.012800264191658547,0.7529884242763122,0.016560096010410537,0.8181314241141081,0.020338610297767446,0.6540029514580965,0.017153544725927835,0.9068874259789784
6,0.20041766337946884,1.0,0.2564923607640796,0.021980112842801543,0.9912008541601676,0.9660750369230906,0.9934323456552293,0.9065241901962845,1.0,0.23663162518706587,0.017973015959271126,0.991006381644143,0.9709757324722078,0.9923447254631255,0.9833333333333333,0.8510111567046907,1.0,0.7480508170824135,0.7589746782210021,1.0,0.9544247810819507,0.34987368423923954,1.903444646204859e-05,4.7586116155121463e-07,0.34916742581764243,0.015329613809202176,0.8604794255147378,0.01191997119167354,0.8613734522213539,0.01213021989678964,0.8685071870684624,0.016444458294427023,0.8802532960971197,0.021906753602282454,0.6934708735595146,0.017711005138698964,0.9419827048977216
7,0.19874643152579666,0.9999993652312292,0.25077673100211,0.022149717286919002,0.9921979281637404,0.9677668319808113,0.9946562550686023,0.8300795036333578,1.0,0.23007747365368736,0.017855926973020866,0.9920470337073009,0.9723633189996084,0.9937743398878309,0.95,0.7695839987860785,1.0,0.7535010183279494,0.6383202619257227,1.0,0.9539823009904507,0.3559719597930666,1.850556094247577e-05,4.626390235618942e-07,0.34916742581764243,0.014452997296272467,0.8337887612481912,0.011341187207532737,0.7257894208654762,0.011686256649166655,0.7963412137081226,0.016129751468542963,0.7636852890253067,0.021441896721565476,0.6572662953287363,0.016768161772051825,0.8406330237785975
8,0.19618760714721348,1.0,0.2601585692001714,0.02227931081627806,0.9914071632756127,0.9661098138049796,0.9938872215924439,0.8434363842010498,1.0,0.24092847175068324,0.018293218221515417,0.9912032630708483,0.9703218897183736,0.99291439751784,0.9833333333333333,0.7869846284389496,1.0,0.7582353154378655,0.675510606934539,1.0,0.9557522123893806,0.3551588697229662,1.7872856954063294e-05,4.4682142385158226e-07,0.34916742581764243,0.014571349814650603,0.838302282926937,0.012122386816190555,0.7824907089273135,0.012066673970548437,0.7941856880982717,0.016506874016098058,0.7885347787290812,0.020743779197800905,0.619587721923987,0.017583972328187276,0.8988065847506126
9,0.19378183022037976,1.0,0.2545361233806169,0.021154631755349262,0.9912229476151643,0.967723673582077,0.9934885583542011,0.899399502409829,1.0,0.236900768470433,0.017263034001613657,0.9911267360051473,0.9731180979145898,0.9926753461360931,0.9833333333333333,0.8490030828449461,1.0,0.7515917867422104,0.7153729031571244,1.0,0.9557522123893806,0.35012957859784366,1.714429111656884e-05,4.286072779142209e-07,0.34916742581764243,0.015503583176177926,0.8776953055212895,0.01233292042161338,0.8441296510398388,0.012354972025301928,0.8475570440292358,0.01674033723344716,0.9124254326025645,0.020342439758436134,0.6861045762896538,0.01655737277275572,0.926106491436561
10,0.19170468122077486,1.0,0.25074324649241236,0.020968524011334887,0.9916293373814336,0.9674138051492197,0.9938650996596725,0.8888878632474828,1.0,0.23376198700732656,0.01742127873003483,0.9915469063652886,0.9716808686653773,0.9932169801659054,0.9833333333333333,0.8392786628670162,1.0,0.7526684909795238,0.7845949488403523,1.0,0.9557522123893806,0.34763766564729176,1.6329025568122654e-05,4.082256392030663e-07,0.34763766564729176,0.015416621137410403,0.8919130155195792,0.010910931798086191,0.7459457535917561,0.011721056441698845,0.8190714339415233,0.016621519743542496,0.8642010464022557,0.020372631103964523,0.7259655106812716,0.0171882836574999,0.988575213526686
11,0.18984691713833146,1.0,0.25698130666105834,0.0213430966699013,0.9910578235431954,0.9662649554234964,0.9937939089757425,0.9145788868268331,1.0,0.23697352405223582,0.017626462424070472,0.9910898612605201,0.9710205988751517,0.9930890553527408,0.9833333333333333,0.8631295263767242,1.0,0.7704803988469385,0.7161087757718246,1.0,0.9522123827343494,0.3546772337938231,1.5437312746024534e-05,3.859328186506133e-07,0.34763766564729176,0.014624029231102516,0.9677756367872159,0.0111477636625447,0.7847134134421746,0.012077318671314667,0.8387712468703588,0.01626390828168951,0.9144845061004162,0.019869600308205313,0.6415214320023854,0.016702343719468143,1.0315109227473538
12,0.18769588659827907,1.0,0.2536690025969788,0.02147881932625616,0.9915066334936354,0.9673731280697717,0.9942947807135405,0.8982625199688805,1.0,0.23398714289069175,0.017876890213746163,0.9914284851815965,0.971279498272472,0.9936449852254655,0.9833333333333333,0.8342240595155292,1.0,0.7412772663926657,0.7585595345075151,1.0,0.9557522123893806,0.34634972550297266,1.4480366456396193e-05,3.620091614099048e-07,0.34634972550297266,0.015059480139946875,0.9411694488177696,0.011589972820365802,0.8226385364929835,0.011674674831253166,0.8034625979761283,0.016425395731736594,0.8506312930335601,0.021227475230504448,0.7317200997223456,0.01687183593166992,0.8557223392029604
13,0.1862715172063973,1.0,0.24990747217778805,0.020535294392525598,0.9911947404896772,0.9680285937256283,0.993955507322594,0.8915932973225912,1.0,0.22862537325256402,0.01695758275584214,0.9911073916488223,0.9736145125495063,0.9933344092633989,0.9833333333333333,0.835123606522878,1.0,0.7411069205376954,0.7674544606588584,1.0,0.9530973408074506,0.3425063123871575,1.347022085406288e-05,3.36755521351572e-07,0.3425063123871575,0.014427750708030847,0.8521252373854319,0.011460142354674947,0.8745717767626047,0.011435010984617596,0.7960261142502228,0.01566015066540179,0.8774978548288346,0.0205760965802862,0.7054581961284081,0.01583714000104616,0.9050624317179123
14,0.184291668365606,1.0,0.2488207205578133,0.020528769512074413,0.9919884430037604,0.9676974168530217,0.9943922674214398,0.8086326588083197,1.0,0.23023443768421809,0.017022564246629675,0.991974656118287,0.9722449908653895,0.9937302062908808,0.9833333333333333,0.7641534649663502,1.0,0.7338564523817164,0.6880343682998049,1.0,0.9557522123893806,0.34153472548579633,1.2419579106074066e-05,3.1048947765185165e-07,0.34153472548579633,0.014638832009707888,0.8363187197595835,0.0110764621621153,0.7511618375157316,0.011380567972082645,0.7379679270088673,0.016472802349987128,0.7838020338366429,0.019899545441148803,0.6424245735009512,0.016217269356517742,0.833245687931776
15,0.18309316435414885,1.0,0.2550256397161219,0.020474130649947457,0.9918457960640943,0.9683823832759151,0.9939555918728864,0.7960512927284947,1.0,0.23469301780892743,0.016691820851216715,0.9914852937062582,0.9737143493360944,0.993155985739496,0.9833333333333333,0.7420808603366216,1.0,0.7645426724864318,0.6502460410109664,1.0,0.9557522123893806,0.35176273531658664,1.1341653642007254e-05,2.835413410501813e-07,0.34153472548579633,0.015245116932783275,0.8542992790540059,0.011367292106539632,0.6868170424674948,0.01174749520723708,0.7567240941027801,0.015237269001469636,0.7509953676412503,0.019905333725425103,0.6335290973385175,0.015777707316253022,0.7701202887420853
16,0.18148516881176166,1.0,0.2518222016040926,0.020735386622793697,0.9917384847446724,0.9683021194405026,0.9938722124806156,0.8566332706698665,1.0,0.23367783207860257,0.017125952831055554,0.9915458798408509,0.9724562419785394,0.9931232449081209,0.9833333333333333,0.8013041135337617,1.0,0.751886272720531,0.6876717230914968,1.0,0.9557522123893806,0.3477628310646353,1.025e-05,2.5625e-07,0.34153472548579633,0.015448494222558415,0.8682419780641795,0.012006211319627862,0.7765586795906226,0.011821233543256919,0.8045610935737689,0.016743563938265045,0.8045096130420765,0.021158332315584023,0.6886233153442541,0.016124094143742697,0.8653299614787102
17,0.17964207460172474,1.0,0.24997580225269,0.019936182122263644,0.9912836556081419,0.9693360571508054,0.9937391517338929,0.8268888734005115,1.0,0.23246685763200123,0.01649748825519863,0.9909418672323227,0.9734495666291979,0.9930176479948891,0.9833333333333333,0.7736787171827422,1.0,0.7556559614903104,0.6652724305085377,1.0,0.9557522123893806,0.3473573617898697,9.15834635799275e-06,2.289586589498187e-07,0.34153472548579633,0.014751175045967102,0.835627602537473,0.01132186437995794,0.7644115512569746,0.011977338691940531,0.7593569441388051,0.016085999827676764,0.7846396078666051,0.020951025737061476,0.6689489208161831,0.015771617689946046,0.8290876865386962
18,0.17848468058639103,1.0,0.24721257223023307,0.02002531118966915,0.9925119406647153,0.9693867882092794,0.9948269320858849,0.8093654862156621,1.0,0.2259744733158085,0.01658334735677474,0.9921962671809726,0.973983304699262,0.9940589000781377,0.9833333333333333,0.7558085731334157,1.0,0.7478768398276473,0.6510893971519133,1.0,0.9495575290865603,0.3417263762925037,8.080420893925936e-06,2.020105223481484e-07,0.34153472548579633,0.013995138476214681,0.8470250903318326,0.010652179659033815,0.6890799411882956,0.01132097768810733,0.7584506418555975,0.0164241006578474,0.8073576467732588,0.01968503275711555,0.6000506090621154,0.016323895298410208,0.8328874710947275
19,0.17714287033821974,1.0,0.24926213368221564,0.01955029726787298,0.9917115471981189,0.9692697242454246,0.9938775495246605,0.7932226185445432,1.0,0.22786802910268306,0.015957951848395168,0.9915813313590156,0.974070758289761,0.9932019028398725,0.9833333333333333,0.7407525781128141,1.0,0.7426022728987499,0.6503194032517154,1.0,0.9557522123893806,0.3422331092357562,7.029779145937124e-06,1.757444786484281e-07,0.34153472548579633,0.014523703940600778,0.7866352453206976,0.011198668852254437,0.7525736504544814,0.011392400595165478,0.7362239254017671,0.015921550346926477,0.7313823127498229,0.019650539212549726,0.6164757337421178,0.01528281441812093,0.8212245862931014
20,0.1761934675121059,1.0,0.24841832896625554,0.01978417288477498,0.9925695134533776,0.9698102630950787,0.9946814779882078,0.7995536767774158,1.0,0.22719320605198542,0.016295300941500397,0.9921812338961495,0.9741834759712219,0.9938524653514226,0.9833333333333333,0.7499527715974383,1.0,0.7490379102198423,0.6232769436540857,1.0,0.9539823009904507,0.34292968375983784,6.01963354360381e-06,1.5049083859009523e-07,0.34153472548579633,0.014132496476910698,0.8180213030427694,0.01119951636355836,0.7236073783288399,0.01120907455139483,0.7467669936517874,0.015943438581113394,0.7894064056376616,0.019226523155036073,0.6064328100532294,0.015285871400070998,0.8154817517846823
21,0.17519348218209213,1.0,0.24744328290775972,0.0195275929911683,0.992396887143453,0.9703528375537307,0.994480386266002,0.7573908820196434,1.0,0.22658516768780018,0.015984702583712835,0.9922085646126005,0.9747170150279999,0.9937282744381163,0.9833333333333333,0.7034800074166722,1.0,0.749547246942478,0.5960258124148952,1.0,0.9557522123893806,0.3424350181047236,5.06268725397547e-06,1.2656718134938674e-07,0.34153472548579633,0.014349674435410027,0.7676578941444556,0.010959567780567643,0.6768017167846362,0.01145082394068595,0.7478156293431918,0.01552772766444832,0.7012078986813625,0.017956345301354305,0.5650856296842297,0.015433057052238535,0.7623112500955661
22,0.17397364773270158,1.0,0.24868084766246654,0.019704027658466388,0.992064775581713,0.9698345945941077,0.9943817962099004,0.7813699737743095,1.0,0.22784562752478651,0.016239386470988392,0.9919521954324511,0.9740700201855765,0.9937350047959221,1.0,0.7338703910509745,1.0,0.7440442241134897,0.6293540839600352,1.0,0.9557522123893806,0.33733591288383113,4.170974431877349e-06,1.0427436079693371e-07,0.33733591288383113,0.014361825845359515,0.7936614684139689,0.011169653023049857,0.7230243017276128,0.01136413154405697,0.7598812413712343,0.01436681544679838,0.7341323560103774,0.019216152360119546,0.5973203180357813,0.015167199517600238,0.7952026598155498
23,0.17296571590834195,1.0,0.2498621074689759,0.01921360604809942,0.9918933376117989,0.9700634486145443,0.994339558813307,0.8013386460366072,1.0,0.22889339174661372,0.015806050707275667,0.9916424089007907,0.9747350427839491,0.9935185104608536,0.9833333333333333,0.7519277728266186,1.0,0.7540986247822247,0.6657043468635694,1.0,0.9557522123893806,0.3452250530704446,3.3557088834311623e-06,8.389272208577905e-08,0.33733591288383113,0.014418643852695822,0.8287332663933437,0.01102936734969262,0.7167070554569364,0.010990048186310256,0.7614262984444697,0.014692859097461526,0.7614144779741764,0.01782458251303372,0.6146269248177608,0.015652064831616977,0.8286586140592893
24,0.17225979753873413,1.0,0.24876571303164519,0.019144585425103153,0.9921042437906619,0.970400481974637,0.9943589921350833,0.7845105657974879,1.0,0.22791352313425806,0.015629559165487687,0.9917379319667816,0.9749648504787021,0.9935209933254454,0.9833333333333333,0.7364393047160572,1.0,0.7466624140475704,0.611066438982972,1.0,0.9553097322978804,0.34291895828613667,2.6271430459367096e-06,6.567857614841773e-08,0.33733591288383113,0.014327125990530477,0.8217446892211835,0.01128049442001308,0.7099704892064135,0.01107663853908889,0.7528403269747893,0.015536133242615808,0.7524308830499649,0.018979594674116623,0.591528307273984,0.014913875347701833,0.7901211456706126
25,0.1717531630769372,1.0,0.24920384166417298,0.019033997950868475,0.9921793268786536,0.9708097848627303,0.9944501516995606,0.7704269756873449,1.0,0.22766917923258412,0.01548794237120698,0.9919163750277625,0.975495057966974,0.9936866372823715,0.9833333333333333,0.7227124778760804,1.0,0.7410492103184219,0.6274609571009611,1.0,0.9544247810819507,0.34180558417922835,1.99443905752423e-06,4.986097643810574e-08,0.33733591288383113,0.01416245979295733,0.7995799120515585,0.010784278425853699,0.687612458349516,0.011119541309502287,0.7286542757103841,0.015298456964471067,0.7603800511608522,0.019589189387625085,0.5685427989810705,0.01552566204724523,0.791505367308855
26,0.17120925132185222,1.0,0.24973751643189676,0.019129956934463094,0.9921355991451829,0.9705834967118723,0.9944212633150595,0.7855858072086617,1.0,0.22850282842086422,0.015624895471976034,0.9919471482435862,0.9753469238678615,0.9936682101753023,0.9833333333333333,0.7371805848346816,1.0,0.7502380659622429,0.6377317847403805,1.0,0.9557522123893806,0.3442202823324497,1.4655535379514144e-06,3.6638838448785355e-08,0.33733591288383113,0.014455473888665438,0.8149146296083927,0.011007585786865092,0.7022307441880306,0.011192969583013716,0.7553698445359865,0.01535506379053307,0.7425692866245905,0.01904803667566739,0.6013254145781199,0.014557471747199695,0.8066735931982597
