source_run,benchmark_seed,perturbation_seed,episode,task_type,target_id,instruction,visual_perturbation,perturbation,ensemble_mode,temporal_profile,ensemble_decay,max_prediction_age,grounding_shift_reset_threshold_m,execution_mode,uses_privileged_execution_assistance,uses_privileged_perturbation_oracle,scene_seed,scene_rejections,task_success,clean_success,task_success_step,clean_success_step,wrong_object_contact,wrong_object_contact_ids,first_wrong_object_contact_step,steps,termination,failure_category,mean_grounding_error_cm,max_grounding_error_cm,final_grounding_error_cm,final_predicted_target_x,final_predicted_target_y,final_predicted_target_z,mean_target_class_accuracy,min_eef_target_distance,gripper_close_step,target_contact,first_target_contact_step,target_motion_detected,grasped_once,first_grasp_step,first_grasp_lost_step,collateral_object_contact,collateral_contact_ids,wrong_object_moved,wrong_object_moved_ids,first_wrong_object_movement_step,max_wrong_object_displacement,max_wrong_displacement_by_id_json,max_target_height,min_target_height,min_target_uprightness,target_toppled,final_target_height,push_forward_displacement,push_lateral_displacement,action_clip_rate,safety_intervention_rate,workspace_violation_rate,recovery_cycles,mean_pose_action_norm,latest_only_rate,mean_oldest_prediction_age,max_oldest_prediction_age,mean_temporal_contributors,mean_latest_prediction_weight,phase_transition_count,grounding_shift_resets,grounding_reset_steps_json,stale_predictions_discarded,diagnostic_trace_enabled,phase_transition_trace_json,contact_event_trace_json,target_prediction_trace_json,perturbation_event_count,perturbation_type,perturbation_protocol_version,perturbation_level,protocol_collision_integrity_passed,injected,injection_step,injection_phase,requested_delta_m,selected_direction_x,selected_direction_y,actual_delta_x_m,actual_delta_y_m,actual_delta_z_m,actual_delta_norm_m,grounding_error_before_injection_cm,grounding_error_after_injection_cm,max_grounding_error_after_injection_cm,post_injection_contact_latency,reacquired_within_0_5cm,reacquisition_latency_0_5cm,reacquired_within_1_0cm,reacquisition_latency_1_0cm,reacquired_within_2_0cm,reacquisition_latency_2_0cm,reacquisition_latency,benchmark_level,benchmark_mode
seed_1,20260801,20260802,11,pick,A,Pick up the red cube,clean,target-displacement,temporal,robust,0.75,3,0.01,raw,0,1,1679153557,0,1,1,77,83,0,,0,83,success,success,0.40730811911420917,1.4745567234507124,1.353084668231573,-0.013757659122347832,6.730039604008198e-05,0.9081777334213257,1.0,0.004275736278116066,62,1,66,1,1,68,0,0,,0,,0,0.002415413534298083,"{""B"":0.002415413534298083,""C"":0.0023667861497321595}",0.9067512325741368,0.8206096551667561,0.9999432499644172,0,0.9067512325741368,0.0,0.006035208565939998,0.0,0.0,0.0,0,0.36290316797062505,0.6626506024096386,0.9397590361445783,3,1.9397590361445782,0.8572404288353886,3,5,[],353,0,[],[],[],0,target_displacement,target-displacement.v2,0.0,1,0,0,-1,0.0,-1.8369701987210297e-16,-1.0,0.0,0.0,0.0,0.0,,,,-1,0,-1,0,-1,0,-1,-1,0.0,temporal
seed_1,20260801,20260802,12,push,A,Push the red cube away from the robot,clean,target-displacement,temporal,robust,0.75,3,0.01,raw,0,1,1255196262,4,1,1,80,80,0,,0,80,success,success,0.29319205242573376,0.7478074472115563,0.7202202716082041,0.13627028465270996,-0.08409383147954941,0.8217655420303345,1.0,0.031045108292603048,1,1,64,1,0,0,0,0,,0,,0,0.002415413534298083,"{""B"":0.002415413534298083,""C"":0.0023793456294382218}",0.8240000000000001,0.8206096551667561,0.9997423531808636,0,0.8217355414331259,0.0845414356749879,0.005600331971763026,0.0,0.175,0.0,0,0.3961319214669767,0.675,0.9,3,1.9,0.8630049656862105,2,0,[],0,0,[],[],[],0,target_displacement,target-displacement.v2,0.0,1,0,0,-1,0.0,-0.26609697423313095,-0.9639462642201444,0.0,0.0,0.0,0.0,,,,-1,0,-1,0,-1,0,-1,-1,0.0,temporal
seed_1,20260801,20260802,13,pick,B,Pick up the blue ball,clean,target-displacement,temporal,robust,0.75,3,0.01,raw,0,1,1431197586,0,1,1,71,77,0,,0,77,success,success,0.6576602787259263,2.9313196421837446,1.6570071413031466,-0.04419320076704025,0.03686498478055,0.910416305065155,1.0,0.0020701175057260645,57,1,61,1,1,62,0,0,,0,,0,0.0033903448332439634,"{""A"":0.0033903448332439634,""C"":0.0023590014413603726}",0.9069515492910463,0.8254986042270261,1.0,0,0.9069515492910463,0.0,0.005106929147421572,0.0,0.0,0.0,0,0.3223326892068201,0.7012987012987013,0.8181818181818182,3,1.8181818181818181,0.8749942824316396,3,6,[],320,0,[],[],[],0,target_displacement,target-displacement.v2,0.0,1,0,0,-1,0.0,-0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,,,,-1,0,-1,0,-1,0,-1,-1,0.0,temporal
seed_1,20260801,20260802,14,pick,B,Pick up the blue ball,clean,target-displacement,temporal,robust,0.75,3,0.01,raw,0,1,2134975730,0,1,1,78,84,0,,0,84,success,success,0.5298423171525218,1.8712216326575568,1.2831036665515378,0.04952728748321533,-0.12551845610141754,0.9098463654518127,1.0,0.00235397843427757,64,1,68,1,1,69,0,0,,0,,0,0.0033903448332439634,"{""A"":0.0033903448332439634,""C"":0.0023683185288744515}",0.906327790731733,0.8254775174762506,1.0,0,0.906327790731733,0.0,0.0045645819672896475,0.0,0.0,0.0,0,0.4140706829206395,0.6309523809523809,1.0357142857142858,3,2.0357142857142856,0.8430570607261652,3,5,[],353,0,[],[],[],0,target_displacement,target-displacement.v2,0.0,1,0,0,-1,0.0,-0.8314696123025455,-0.555570233019602,0.0,0.0,0.0,0.0,,,,-1,0,-1,0,-1,0,-1,-1,0.0,temporal
seed_1,20260801,20260802,15,pick,B,Pick up the blue ball,clean,target-displacement,temporal,robust,0.75,3,0.01,raw,0,1,751649339,0,1,1,82,87,0,,0,87,success,success,0.7508973808281382,1.9600913954140937,1.3863133028562018,0.08528418838977814,-0.11194422841072083,0.8919038772583008,1.0,0.003237404076380333,68,1,72,1,1,73,0,0,,0,,0,0.0033903448332439634,"{""A"":0.0033903448332439634,""C"":0.0023472880168423586}",0.9034546776424911,0.8254990803938159,1.0,0,0.9034546776424911,0.0,0.0016930068048059063,0.06896551724137931,0.0,0.0,0,0.41961249200819717,0.5977011494252874,1.1379310344827587,3,2.1379310344827585,0.8280219514698699,3,5,[],284,0,[],[],[],0,target_displacement,target-displacement.v2,0.0,1,0,0,-1,0.0,0.9238795325112865,-0.3826834323650904,0.0,0.0,0.0,0.0,,,,-1,0,-1,0,-1,0,-1,-1,0.0,temporal
seed_1,20260801,20260802,16,push,B,Push the blue ball away from the robot,clean,target-displacement,temporal,robust,0.75,3,0.01,raw,0,1,937821226,2,1,1,77,77,0,,0,77,success,success,0.4814437642728635,1.526107272607569,1.349063901052699,0.1952013224363327,-0.030911529436707497,0.8255625367164612,1.0,0.035112717539397514,1,1,77,1,0,0,0,0,,0,,0,0.0033903448332439634,"{""A"":0.0033903448332439634,""C"":0.002361409059852092}",0.8280000000000001,0.8255415259862878,1.0,0,0.8258981041776358,0.0813506753087344,0.0027444533826139926,0.14285714285714285,0.012987012987012988,0.0,0,0.4263937348979416,0.5454545454545454,1.2077922077922079,3,2.207792207792208,0.813520112117536,3,7,[],304,0,[],[],[],0,target_displacement,target-displacement.v2,0.0,1,0,0,-1,0.0,0.1950903220161283,-0.9807852804032304,0.0,0.0,0.0,0.0,,,,-1,0,-1,0,-1,0,-1,-1,0.0,temporal
seed_1,20260801,20260802,17,pick,B,Pick up the blue ball,clean,target-displacement,temporal,robust,0.75,3,0.01,raw,0,1,340795577,0,1,1,79,85,0,,0,85,success,success,0.6211265637688284,1.9024222799545618,1.3406478997793438,0.04816003143787384,0.0883524939417839,0.9095509052276611,1.0,0.002315097955217663,65,1,69,1,1,70,0,0,,0,,0,0.0033903448332439634,"{""A"":0.0033903448332439634,""C"":0.0023471946700230513}",0.9069828250886787,0.8255067366049038,1.0,0,0.9069828250886787,0.0,0.004034156715666442,0.011764705882352941,0.0,0.0,0,0.397587111854929,0.6235294117647059,1.0588235294117647,3,2.0588235294117645,0.8396714384731537,3,4,[],335,0,[],[],[],0,target_displacement,target-displacement.v2,0.0,1,0,0,-1,0.0,-0.9807852804032304,0.1950903220161286,0.0,0.0,0.0,0.0,,,,-1,0,-1,0,-1,0,-1,-1,0.0,temporal
seed_1,20260801,20260802,18,pick,C,Pick up the green cylinder,clean,target-displacement,temporal,robust,0.75,3,0.01,raw,0,1,1519111428,0,1,1,72,78,0,,0,78,success,success,0.9347222331188673,2.158029755682803,2.158029755682803,-0.12479108572006226,0.06787463277578354,0.9093783497810364,1.0,0.004452372277310728,59,1,63,1,1,63,0,0,,0,,0,0.0033903448332439634,"{""A"":0.0033903448332439634,""B"":0.002415413534298083}",0.9030973355666136,0.8216801833557196,0.9998530305238091,0,0.9030973355666136,0.0,0.011961706344170653,0.0,0.0,0.0,0,0.34378289171230153,0.6794871794871795,0.8846153846153846,3,1.8846153846153846,0.865193821611239,3,7,[],340,0,[],[],[],0,target_displacement,target-displacement.v2,0.0,1,0,0,-1,0.0,0.38268343236509006,-0.9238795325112867,0.0,0.0,0.0,0.0,,,,-1,0,-1,0,-1,0,-1,-1,0.0,temporal
seed_1,20260801,20260802,19,pick,A,Pick up the red cube,clean,target-displacement,temporal,robust,0.75,3,0.01,raw,0,1,205738177,0,1,1,88,94,0,,0,94,success,success,0.720972655412518,2.153276261026775,1.1280752009586177,-0.05568275228142738,0.12974518537521362,0.9058656692504883,1.0,0.005686955536281581,73,1,76,1,1,79,0,0,,0,,0,0.002415413534298083,"{""B"":0.002415413534298083,""C"":0.002360480873367126}",0.9068021180464367,0.8206096551667561,0.9999843167950075,0,0.9068021180464367,0.0,0.009873128191898143,0.031914893617021274,0.0,0.0,0,0.39867804988478833,0.5957446808510638,1.148936170212766,3,2.148936170212766,0.8266356094206307,3,9,[],342,0,[],[],[],0,target_displacement,target-displacement.v2,0.0,1,0,0,-1,0.0,-0.38268343236509034,-0.9238795325112865,0.0,0.0,0.0,0.0,,,,-1,0,-1,0,-1,0,-1,-1,0.0,temporal
seed_1,20260801,20260802,20,push,A,Push the red cube away from the robot,clean,target-displacement,temporal,robust,0.75,3,0.01,raw,0,1,1200166337,0,1,1,87,87,0,,0,87,success,success,0.5004560385427707,0.9989447240309188,0.914860003807855,0.1111452579498291,0.16089463233947754,0.8217359781265259,1.0,0.03095041274263318,1,1,71,1,0,0,0,0,,0,,0,0.002415413534298083,"{""B"":0.002415413534298083,""C"":0.0023847104470462333}",0.8240000000000001,0.8206096551667561,0.9998119657066127,0,0.8219775132969377,0.08523230333744915,0.009259661414035837,0.06896551724137931,0.20689655172413793,0.0,0,0.43039813640255714,0.6436781609195402,1.0,3,2.0,0.8484688862183664,2,1,[],190,0,[],[],[],0,target_displacement,target-displacement.v2,0.0,1,0,0,-1,0.0,0.7044499082740229,-0.7097537085022667,0.0,0.0,0.0,0.0,,,,-1,0,-1,0,-1,0,-1,-1,0.0,temporal
