level_cm,paired_episodes,temporal_success_rate,latest_only_success_rate,difference_percentage_points,temporal_only_successes,latest_only_successes,both_success,both_fail,exact_mcnemar_p
0,120,0.975,0.975,0.0,0,0,117,3,1.0
1,120,0.9833333333333333,0.9833333333333333,0.0,0,0,118,2,1.0
2,120,0.975,0.9583333333333334,1.6666666666666667,3,1,114,2,0.625
3,120,0.9416666666666667,0.925,1.6666666666666667,3,1,110,6,0.625
4,120,0.9083333333333333,0.9,0.8333333333333334,3,2,106,9,1.0
5,120,0.875,0.875,0.0,1,1,104,14,1.0
6,120,0.8333333333333334,0.8583333333333333,-2.5,2,5,98,15,0.453125
7,120,0.8,0.8083333333333333,-0.8333333333333334,3,4,93,20,1.0
8,120,0.75,0.7166666666666667,3.3333333333333335,7,3,83,27,0.34375
