benchmark_seed,perturbation_seed,level_cm,ensemble_mode,episode,scene_seed,task,instruction,v2_injected,v3_injected,v2_success,v3_success,v2_failure,v3_failure
20260811,20260812,0,temporal,4,1237221648,push_A,Push the red cube away from the robot,0,0,0,1,insufficient_push_distance,success
20260811,20260812,0,temporal,5,884968109,pick_B,Pick up the blue ball,0,0,1,1,success,success
20260811,20260812,0,temporal,6,950419073,pick_C,Pick up the green cylinder,0,0,1,1,success,success
20260811,20260812,0,temporal,7,1386785222,push_A,Push the red cube away from the robot,0,0,1,1,success,success
20260811,20260812,0,temporal,8,1647636036,push_A,Push the red cube away from the robot,0,0,1,1,success,success
20260811,20260812,0,temporal,9,709682685,pick_A,Pick up the red cube,0,0,1,1,success,success
20260811,20260812,0,temporal,10,947302754,pick_B,Pick up the blue ball,0,0,1,1,success,success
20260811,20260812,0,temporal,11,2115569061,push_A,Push the red cube away from the robot,0,0,1,1,success,success
20260811,20260812,0,temporal,12,242403568,push_B,Push the blue ball away from the robot,0,0,1,1,success,success
20260811,20260812,0,temporal,13,141437265,push_A,Push the red cube away from the robot,0,0,1,1,success,success
20260811,20260812,0,temporal,14,2039796682,pick_C,Pick up the green cylinder,0,0,1,1,success,success
20260811,20260812,0,temporal,15,69840060,pick_B,Pick up the blue ball,0,0,1,1,success,success
20260811,20260812,0,temporal,16,1943017295,push_A,Push the red cube away from the robot,0,0,1,1,success,success
20260811,20260812,0,temporal,17,2104894479,pick_C,Pick up the green cylinder,0,0,1,1,success,success
20260811,20260812,0,temporal,18,1132678512,pick_A,Pick up the red cube,0,0,1,1,success,success
20260811,20260812,0,temporal,19,665540359,pick_B,Pick up the blue ball,0,0,1,1,success,success
20260811,20260812,0,temporal,20,857946723,push_C,Push the green cylinder away from the robot,0,0,1,1,success,success
20260811,20260812,0,temporal,21,1340257999,pick_B,Pick up the blue ball,0,0,1,1,success,success
20260811,20260812,0,temporal,22,2084683216,pick_A,Pick up the red cube,0,0,1,1,success,success
20260811,20260812,0,temporal,23,1363560690,push_C,Push the green cylinder away from the robot,0,0,1,1,success,success
20260811,20260812,0,temporal,24,613602556,pick_A,Pick up the red cube,0,0,1,1,success,success
20260811,20260812,0,temporal,25,20673085,pick_B,Pick up the blue ball,0,0,1,1,success,success
