corruption,severity_index,level,failure_category,count,rate_over_all_episodes
gaussian-noise,0,0.0,gripper_never_closed,1,0.008333333333333333
gaussian-noise,0,0.0,insufficient_push_distance,1,0.008333333333333333
gaussian-noise,0,0.0,lateral_push_error,2,0.016666666666666666
gaussian-noise,1,10.0,lateral_push_error,1,0.008333333333333333
gaussian-noise,2,20.0,lateral_push_error,1,0.008333333333333333
gaussian-noise,2,20.0,recovery_limit,1,0.008333333333333333
gaussian-noise,3,30.0,lateral_push_error,1,0.008333333333333333
gaussian-noise,3,30.0,recovery_limit,1,0.008333333333333333
gaussian-noise,4,40.0,lateral_push_error,1,0.008333333333333333
gaussian-noise,4,40.0,recovery_limit,2,0.016666666666666666
gaussian-noise,5,60.0,lateral_push_error,1,0.008333333333333333
gaussian-noise,5,60.0,recovery_limit,3,0.025
gaussian-noise,5,60.0,wrong_object_contact,1,0.008333333333333333
gaussian-noise,6,80.0,insufficient_push_distance,3,0.025
gaussian-noise,6,80.0,lateral_push_error,1,0.008333333333333333
gaussian-noise,6,80.0,recovery_limit,5,0.041666666666666664
gaussian-noise,6,80.0,wrong_object_contact,2,0.016666666666666666
gaussian-noise,7,120.0,gripper_never_closed,6,0.05
gaussian-noise,7,120.0,insufficient_push_distance,6,0.05
gaussian-noise,7,120.0,missed_grasp,2,0.016666666666666666
gaussian-noise,7,120.0,recovery_limit,28,0.23333333333333334
gaussian-noise,7,120.0,target_not_contacted,4,0.03333333333333333
gaussian-noise,7,120.0,target_not_reached,2,0.016666666666666666
gaussian-noise,7,120.0,wrong_object_contact,7,0.058333333333333334
gaussian-noise,8,160.0,gripper_never_closed,10,0.08333333333333333
gaussian-noise,8,160.0,insufficient_push_distance,9,0.075
gaussian-noise,8,160.0,missed_grasp,2,0.016666666666666666
gaussian-noise,8,160.0,recovery_limit,16,0.13333333333333333
gaussian-noise,8,160.0,target_not_contacted,1,0.008333333333333333
gaussian-noise,8,160.0,target_not_reached,9,0.075
gaussian-noise,8,160.0,wrong_object_contact,29,0.24166666666666667
gaussian-blur,0,0.0,gripper_never_closed,1,0.008333333333333333
gaussian-blur,0,0.0,insufficient_push_distance,1,0.008333333333333333
gaussian-blur,0,0.0,lateral_push_error,2,0.016666666666666666
gaussian-blur,1,0.75,lateral_push_error,1,0.008333333333333333
gaussian-blur,2,1.5,lateral_push_error,1,0.008333333333333333
gaussian-blur,3,2.25,insufficient_push_distance,1,0.008333333333333333
gaussian-blur,3,2.25,lateral_push_error,1,0.008333333333333333
gaussian-blur,4,3.0,gripper_never_closed,1,0.008333333333333333
gaussian-blur,4,3.0,lateral_push_error,1,0.008333333333333333
gaussian-blur,4,3.0,object_dropped,1,0.008333333333333333
gaussian-blur,4,3.0,recovery_limit,3,0.025
gaussian-blur,5,4.0,insufficient_push_distance,4,0.03333333333333333
gaussian-blur,5,4.0,lateral_push_error,1,0.008333333333333333
gaussian-blur,5,4.0,missed_grasp,1,0.008333333333333333
gaussian-blur,5,4.0,recovery_limit,7,0.058333333333333334
