epoch,chunk_size,training_seed,train_total,train_phase_family_accuracy,combined_val_total,combined_val_xyz_mae,combined_val_gripper_accuracy,combined_val_phase_accuracy,combined_val_phase_family_accuracy,combined_val_grounding_cm,combined_val_target_selection_accuracy,clean_val_total,clean_val_xyz_mae,clean_val_gripper_accuracy,clean_val_phase_accuracy,clean_val_phase_family_accuracy,clean_val_lift_transition_joint_accuracy,clean_val_grounding_cm,clean_val_target_selection_accuracy,initial_clean_total,initial_clean_grounding_cm,initial_clean_target_selection_accuracy,initial_clean_phase_family_accuracy,selection_score,main_lr,vision_lr,best_selection_score,clean_pick_A_first_action_mae,clean_pick_A_grounding_cm,clean_pick_B_first_action_mae,clean_pick_B_grounding_cm,clean_pick_C_first_action_mae,clean_pick_C_grounding_cm,clean_push_A_first_action_mae,clean_push_A_grounding_cm,clean_push_B_first_action_mae,clean_push_B_grounding_cm,clean_push_C_first_action_mae,clean_push_C_grounding_cm
1,10,20261201,0.2793259456857211,0.9986874539405107,0.2683996512934014,0.026897900058301512,0.9920437311684643,0.9613432230772796,0.9941853106021881,0.9373225463761223,1.0,0.23983407496578163,0.02084236975448827,0.9927259898848004,0.9704155461655722,0.9933036049207051,0.9833333333333333,0.8660349594222174,1.0,0.7719535504558445,0.7758167148691363,1.0,0.9548672532613298,0.35982764296208014,1.3500000000000001e-05,3.375e-07,0.35982764296208014,0.01664087686416072,1.0009106770157814,0.012906118860701098,0.8271776136010885,0.012432043649217425,0.8719924554228783,0.01853527543717064,0.8459799144417047,0.02456335612999586,0.7629465968658526,0.018673900712747125,0.8872024996827046
2,10,20261201,0.22189651660931606,1.0,0.2652144586322484,0.02534131377728449,0.9915698839558496,0.9620100983866939,0.9933698038260143,0.9584355197570942,1.0,0.24210456584890683,0.020458651189174917,0.9911214172840118,0.9679939422342513,0.9925135884020063,0.9833333333333333,0.8951104945606656,1.0,0.7392995917955331,0.8315576874049364,1.0,0.9557522123893806,0.35347653887323455,2e-05,5e-07,0.35347653887323455,0.01583717777005707,1.049662143488725,0.012219054025869506,0.7637223975732923,0.01197727425217939,0.8911785253634056,0.017573220554428795,0.929842672124505,0.024775960536984106,0.7293012077609698,0.01798135099816136,1.0069560557603836
3,10,20261201,0.21765648846824964,0.9999987730756402,0.271163527391575,0.02501752086466661,0.9910055871363039,0.9603521170439544,0.9920370792901074,0.9587619916156486,1.0,0.24949086846576796,0.02006167091636194,0.9902912159760793,0.9669807381100125,0.9903753177987205,0.9833333333333333,0.8975377301375072,1.0,0.772363034101714,0.7999225385421145,1.0,0.9557522123893806,0.3655670992706993,1.9938694046459116e-05,4.984673511614778e-07,0.35347653887323455,0.016304177949981142,1.0175667122006415,0.012320321395721597,0.8410581009462476,0.012178063121973537,0.8192611824721098,0.01727438241747829,1.0012235866238675,0.02396028908745696,0.696771246008575,0.017790409765439108,1.0093455479790767
4,10,20261201,0.2115871087854935,0.9999988229738341,0.26381323911525584,0.02595767221172099,0.992397768188406,0.9623916670128151,0.9948777011147252,0.9417274731176871,1.0,0.24015107055505117,0.021568689583283333,0.9918423818217383,0.9687736643685235,0.9941525237427817,0.9666666666666667,0.8831747968991598,1.0,0.7255354332449162,0.7871867972137654,1.0,0.9557522123893806,0.3543265936610856,1.9755547143772783e-05,4.938886785943195e-07,0.35347653887323455,0.016452607853959005,1.0162884840120872,0.01371964717982337,0.8761797758440176,0.013354121352313087,0.8224831944952409,0.019422344968188555,0.9695050708949566,0.026050951780052855,0.6770513594150543,0.019824888314663742,0.9375409107655287
5,10,20261201,0.20727357810052732,0.9999987901705835,0.25542573161699156,0.023904610501119385,0.9933628581188343,0.9646672034705127,0.9947099376607824,0.9081846287956944,1.0,0.23616396424671013,0.019928345415327283,0.9926419225003984,0.9703346060381995,0.9936972382995818,0.9666666666666667,0.860536687903934,1.0,0.7294750444393242,0.7348462206072512,1.0,0.9530973518844199,0.35060471049631736,1.9452862470506586e-05,4.863215617626646e-07,0.35060471049631736,0.015917455651409302,0.94320599672695,0.012676624076751372,0.8480380178739627,0.01280922824710918,0.8401911423852046,0.01759958118200302,0.865578975652655,0.023771465455259506,0.7147740818560123,0.017871810641372575,0.9514318975309531
6,10,20261201,0.20315059940848085,1.0,0.2596093058862068,0.02384529435593221,0.9923923761756331,0.9639095703760783,0.9937340782748328,0.9316838443279266,1.0,0.23811724728180303,0.02003920674841437,0.9921983347998725,0.9707845836877823,0.9928729431496726,0.9833333333333333,0.876742144756847,1.0,0.7857816526583866,0.7667462250827688,1.0,0.9557522123893806,0.3590977459384409,1.903444646204859e-05,4.7586116155121463e-07,0.35060471049631736,0.017531579044104243,0.9534007340669632,0.01311926100558291,0.8155841153735915,0.013132217532256619,0.8443542061994473,0.016044886373371505,0.9635909125208855,0.021155606547836214,0.7631555438041687,0.017941979058862974,0.9203673577557008
7,10,20261201,0.20081988187092875,1.0,0.2586714012755288,0.02355144008373221,0.9919717841678195,0.9634702644966266,0.9930206029503433,0.9504928635226355,1.0,0.2374197414351834,0.01942108424069981,0.9917160352071126,0.9702273650301827,0.9922560940186183,0.95,0.8915163851446576,1.0,0.7612246823521842,0.7255071348848596,1.0,0.9469026585595798,0.3635562275706872,1.850556094247577e-05,4.626390235618942e-07,0.35060471049631736,0.015744296369181635,0.9939510780076186,0.012047028756933286,0.8929587755352258,0.012128295513684861,0.8375065910319487,0.01766160564341893,0.95806538152198,0.024458746544163055,0.7401783432811498,0.018208962882636116,0.9264381642142931
8,10,20261201,0.19797390207855237,0.9999988871109154,0.2619079189995925,0.022783977817744015,0.9920514863950235,0.9628413765518754,0.9924068397945828,0.8785569758326919,1.0,0.24154282324016094,0.019038475077185365,0.9914700564410951,0.968886826104588,0.9912811030944189,0.9833333333333333,0.8262537721130583,1.0,0.7325369401843147,0.7398431585953299,1.0,0.9557522123893806,0.3508511753568212,1.7872856954063294e-05,4.4682142385158226e-07,0.35060471049631736,0.014685564365936443,0.8280130664507548,0.011570552617195062,0.7891698776433865,0.012213976727798581,0.8852373613665502,0.01686053288091595,0.8084651552140713,0.022347098043731726,0.685341279146572,0.016359858519475287,0.9612959052746495
9,10,20261201,0.19599030276553497,1.0,0.2635268471307225,0.023568829048976853,0.9913503885269165,0.96212427549892,0.9929507511633414,0.9293886723341765,1.0,0.24213317922419972,0.01974396711318857,0.9907936188909743,0.9680828147464329,0.9919683923323949,0.9833333333333333,0.86797234416008,1.0,0.7580467954409861,0.6763714224891325,1.0,0.9557522123893806,0.35673400283951384,1.714429111656884e-05,4.286072779142209e-07,0.35060471049631736,0.015460475422635985,0.9181078555683295,0.011959655348133917,0.7904019796599945,0.012440670368475064,0.8928603421896696,0.017318875920803598,0.9293382386366527,0.021937025722581893,0.6761104329178731,0.01872270164700846,1.0010152399539947
10,10,20261201,0.19306358891642755,1.0,0.2535066548872877,0.022165539005288372,0.993497904141744,0.9644040917908704,0.9944077690442403,0.862678673532274,1.0,0.2337473144547807,0.018492502375091945,0.9928260429037942,0.9699717021650738,0.9935308837228352,0.9833333333333333,0.8144172287649578,1.0,0.7502615813132936,0.7058147012659933,1.0,0.9557522123893806,0.3479779699562354,1.6329025568122654e-05,4.082256392030663e-07,0.3479779699562354,0.015225492845638655,0.850567684819301,0.01207975717552472,0.7873660696049531,0.0122160857359025,0.867510083814462,0.0166780935076531,0.852325600758195,0.019375264142096664,0.674818803742528,0.016597465590651457,0.8539151289810737
11,10,20261201,0.19120741840969357,1.0,0.25624500187458815,0.022418505170693,0.9918634745809767,0.9636636784783116,0.9932680284535443,0.8969043570536154,1.0,0.23418093961146141,0.018634385222362146,0.9912159303824107,0.9701060685846541,0.9923592862155702,0.9833333333333333,0.8359395871559779,1.0,0.7434543187903092,0.6711385102398628,1.0,0.9557522123893806,0.347654834126169,1.5437312746024534e-05,3.859328186506133e-07,0.347654834126169,0.014311783305796173,0.961345615858833,0.011555127131092984,0.786061895141999,0.011758381453303931,0.818266037479043,0.015765109706747656,0.8217484451830387,0.020642571417071546,0.7243862961729367,0.015845844172872603,0.9038292391846577
12,10,20261201,0.18932373288294507,1.0,0.25609423062867587,0.022276026251967306,0.992145773878804,0.9632573794435572,0.9936429213594508,0.9597109344270495,1.0,0.23624106715950702,0.018602469850641987,0.9914883934789234,0.9688578910297818,0.9925338721937603,0.9833333333333333,0.9074480258756213,1.0,0.7389071251438782,0.7136891315468644,1.0,0.9557522123893806,0.3477302277971319,1.4480366456396193e-05,3.620091614099048e-07,0.347654834126169,0.014731008276188125,1.0086290414134662,0.012594794026032712,0.8242089348534744,0.011857109269476496,0.8707795520623525,0.0170729313356181,1.0216930164645115,0.02192087076449146,0.7274769816547633,0.016988315776688977,0.9919006484250228
13,10,20261201,0.1870678254403174,1.0,0.24461164148869338,0.02138758382794482,0.9929553001015274,0.96736889856833,0.9945250548698285,0.8899704248816879,1.0,0.22678511208958096,0.01782254385503216,0.992377793457773,0.9730408519506455,0.993658619456821,0.9833333333333333,0.8414144300752215,1.0,0.7550691492789614,0.745497433485183,1.0,0.9548672522063804,0.34278987834719077,1.347022085406288e-05,3.36755521351572e-07,0.34278987834719077,0.014505368648678995,0.8923092650870482,0.01081206757032002,0.7937409782161315,0.011153793773943713,0.8734510467698177,0.015834632969927043,0.9217830096681913,0.019908114802092314,0.6927470114082098,0.016388969102020687,0.8744552748898665
14,10,20261201,0.18526269157624078,1.0,0.2549986457383191,0.02192476197594294,0.9931634525458019,0.9654851273254111,0.9942133550290708,0.8886960053885424,1.0,0.23542258909179103,0.018306335367055403,0.992670539021492,0.9715060068501367,0.9933654288450877,0.9833333333333333,0.8454572674300935,1.0,0.769907902827305,0.7351959189482494,1.0,0.9495575180095909,0.35319246883285227,1.2419579106074066e-05,3.1048947765185165e-07,0.34278987834719077,0.014343710899508248,0.9399375079820553,0.011070490944742535,0.7964206868161757,0.011626681900816038,0.8139375730107228,0.01662284094102991,0.9373837576558193,0.02061785364833971,0.6750415691485008,0.016529540492532153,0.9100224984188875
15,10,20261201,0.18416360784839425,1.0,0.2515625515745746,0.021390629740845827,0.9934661538512618,0.9673807005087535,0.9951680033295243,0.8135310728240897,1.0,0.22856959820621545,0.01751140293199569,0.9927689443031947,0.9734833098120159,0.9943667011128532,0.9666666666666667,0.7660962422688802,1.0,0.753369073029113,0.6902545537568826,1.0,0.9557522123893806,0.35042737918130273,1.1341653642007254e-05,2.835413410501813e-07,0.34278987834719077,0.014192185303545556,0.8729532445470493,0.010393140938443441,0.7297086806346973,0.011117742673377506,0.7240651844690243,0.01610840396412338,0.8435256025443475,0.01864770586253144,0.6353688976416986,0.016534797692050535,0.7909558455149333
16,10,20261201,0.18204696295886405,0.9999976217746734,0.2495961005764979,0.02076443225938689,0.9922807501422034,0.9663957196253318,0.9936731336293397,0.8284128824869792,1.0,0.23202500521308847,0.017300215133258866,0.9915516350004409,0.9706315759155485,0.9926202330324385,0.9833333333333333,0.784186202287674,1.0,0.755383630241968,0.6720325487904844,1.0,0.9557522123893806,0.3469680588278872,1.025e-05,2.5625e-07,0.34278987834719077,0.014130367623874918,0.8199899928023417,0.010348629063810223,0.719791188960274,0.011083244335410806,0.7920918294539054,0.015599318120318154,0.8046155179540316,0.01826818201225251,0.6476274867852528,0.015379729055954765,0.921001206462582
17,10,20261201,0.18039296273556021,1.0,0.24697250067083923,0.021210451865637744,0.9932641378155461,0.9689578312414664,0.9949896388583713,0.8666035173115907,1.0,0.22630235130588214,0.017803628051963945,0.9925736354457008,0.9736172904570898,0.9940126607815425,0.9833333333333333,0.8090552935997645,1.0,0.7400055869226962,0.6914311299281838,1.0,0.9557522123893806,0.3402440432387321,9.15834635799275e-06,2.289586589498187e-07,0.3402440432387321,0.014205265136358019,0.9364756256341934,0.010732095890368025,0.7204713879774014,0.011748334722748647,0.7773167392859857,0.016241641102048256,0.8645946592092514,0.018881416864072284,0.6517588648945093,0.015591460041468963,0.9037144766499599
18,10,20261201,0.17894480436419447,1.0,0.2500565961003304,0.020854696414122978,0.9935033937295278,0.9686599817540911,0.9950851696508902,0.843166188398997,1.0,0.22834906255205473,0.017358475416484807,0.9929064187738631,0.9739837096797095,0.9941891938447952,0.9666666666666667,0.7959728221098582,1.0,0.7374038675190073,0.7353972170205243,1.0,0.9557522123893806,0.34667228360992797,8.080420893925936e-06,2.020105223481484e-07,0.3402440432387321,0.014473972511283743,0.8763067318747441,0.011088642928128441,0.7279200763131182,0.011616821030232434,0.8219938326627017,0.01586599143532415,0.8526771415024996,0.018413646365903938,0.6180837094783783,0.0156788599716189,0.8788554474711419
19,10,20261201,0.17776744892924196,1.0,0.24954909900272335,0.020598651227299813,0.9933006589059477,0.9683998591370053,0.9946419375914114,0.8231489762111946,1.0,0.22778194546699523,0.017163436890890203,0.9926951636870702,0.973935408393542,0.9938737723562453,0.9833333333333333,0.7773789700534609,1.0,0.7382344941122342,0.6473005155546475,1.0,0.9557522123893806,0.3414026012567615,7.029779145937124e-06,1.757444786484281e-07,0.3402440432387321,0.014372513051299999,0.8324861317252119,0.010571745255341132,0.7626529626548291,0.011163542769888105,0.7920264042913914,0.01638882943467858,0.7847579463074604,0.019598825528131178,0.6506092985471089,0.015414593619061634,0.8417410923788945
