epoch,chunk_size,training_seed,train_total,train_phase_family_accuracy,combined_val_total,combined_val_xyz_mae,combined_val_gripper_accuracy,combined_val_phase_accuracy,combined_val_phase_family_accuracy,combined_val_grounding_cm,combined_val_target_selection_accuracy,clean_val_total,clean_val_xyz_mae,clean_val_gripper_accuracy,clean_val_phase_accuracy,clean_val_phase_family_accuracy,clean_val_lift_transition_joint_accuracy,clean_val_grounding_cm,clean_val_target_selection_accuracy,initial_clean_total,initial_clean_grounding_cm,initial_clean_target_selection_accuracy,initial_clean_phase_family_accuracy,selection_score,main_lr,vision_lr,best_selection_score,clean_pick_A_first_action_mae,clean_pick_A_grounding_cm,clean_pick_B_first_action_mae,clean_pick_B_grounding_cm,clean_pick_C_first_action_mae,clean_pick_C_grounding_cm,clean_push_A_first_action_mae,clean_push_A_grounding_cm,clean_push_B_first_action_mae,clean_push_B_grounding_cm,clean_push_C_first_action_mae,clean_push_C_grounding_cm
1,5,20261201,0.29043322156907786,0.9985628773354822,0.2790763058044292,0.02916993107991638,0.990187606105098,0.9536001726433083,0.9949772066540188,0.9301961726612515,1.0,0.24731104431880846,0.02278440592603551,0.9899345715840657,0.9646765079763201,0.9942424532439974,0.95,0.853162423438496,1.0,0.7565576836334921,0.7809433446521252,1.0,0.9504424745002679,0.3736899506274314,1.3500000000000001e-05,3.375e-07,0.3736899506274314,0.01609196706364552,0.9457558482885361,0.012251553088814642,0.8147282137225071,0.012457757586768517,0.9171390172094107,0.018677471436482542,0.7884265299886465,0.0246346274856478,0.740628287071983,0.018938882429695998,0.912296665335695
2,5,20261201,0.23023182273221512,0.999982022225029,0.27593635353777146,0.027749950673293184,0.9906547034228289,0.9542315677360252,0.9944293156818107,0.9261389125276495,1.0,0.2493351169758373,0.02238049904505412,0.9901518997218873,0.9628474639521705,0.9936449312501483,0.95,0.8593914207484987,1.0,0.7527201481625042,0.7564331984097978,1.0,0.9504424745002679,0.37299249418175096,2e-05,5e-07,0.37299249418175096,0.01567922816708839,0.9412771540383498,0.011987045980640687,0.7689747961238027,0.01172361511659498,0.8982504973808925,0.018108330408964927,0.8760360663135847,0.023747512742799397,0.690570430830121,0.018380061245989055,0.9812395898004372
3,5,20261201,0.2247253021121853,1.0,0.28162163766445936,0.028372785273111528,0.9894309673044417,0.9511730759232132,0.9940827186460848,0.9205163505342272,1.0,0.25554968702296416,0.023260981486075454,0.9888257480329937,0.9590316067139307,0.9930073738098144,0.95,0.8687146706713571,1.0,0.7193265132671964,0.7691714246716119,1.0,0.9557522123893806,0.3711266374642592,1.9938694046459116e-05,4.984673511614778e-07,0.3711266374642592,0.016545241157291456,0.9503882052997749,0.013404923667743181,0.7831187305351098,0.012757605947748137,0.8481560427695513,0.018061085703084245,1.0082008997599283,0.022806814927995824,0.687758628030618,0.018636221155369035,0.9346655257046222
4,5,20261201,0.2170967889121837,1.0,0.2682768982869607,0.02692723655383344,0.9915243449034514,0.9572822522234034,0.9952562365267011,0.8974104051236753,1.0,0.2433775205579069,0.02223334240520166,0.9908176614178552,0.9651866982380549,0.9944208304087321,0.9833333333333333,0.8397706230481465,1.0,0.7095477690475177,0.7479636869599334,1.0,0.9557522123893806,0.3490813835745452,1.9755547143772783e-05,4.938886785943195e-07,0.3490813835745452,0.015681199884663027,0.9307839042196672,0.012309638360360016,0.7966988595823447,0.012547178236612428,0.85815125182271,0.018116467021172866,0.8781387563794851,0.026924427654982232,0.6989718594898781,0.01842211650800891,0.8758790768682957
5,5,20261201,0.21302760316369435,1.0,0.27052997240313775,0.025882332899642212,0.9918528766543777,0.9556050525771247,0.9946366005473667,0.8752345727549659,1.0,0.2462791317866908,0.02155651479649047,0.9913629485501183,0.9631593780385124,0.993582730823093,0.9833333333333333,0.8246193452013864,1.0,0.7383752698655677,0.7022746980717752,1.0,0.9504424713354195,0.35697361158740026,1.9452862470506586e-05,4.863215617626646e-07,0.3490813835745452,0.015240099607035517,0.8750691638638576,0.011837229371303692,0.8268669669826826,0.012795276023098268,0.7772251073271036,0.017026493836116666,0.8610882349933188,0.02230491066390338,0.7020607493817806,0.01755177853240942,0.9054058585315943
6,5,20261201,0.20898995620405508,1.0,0.2697101576184785,0.024602339082156068,0.9913085809460392,0.9569297627166465,0.9940489199426439,0.909752732736093,1.0,0.24375370529790719,0.020716351361220908,0.9914323929283354,0.9658345030413733,0.9930658121903737,0.9833333333333333,0.8539906726943122,1.0,0.7538749495175032,0.7010403755491814,1.0,0.9539823009904507,0.35856488983799784,1.903444646204859e-05,4.7586116155121463e-07,0.3490813835745452,0.015993490196221198,1.0128144213308892,0.011663796431579006,0.8352085627615452,0.012460901453353775,0.7978220845262209,0.018297131208237262,0.87521046983699,0.02108163115917705,0.739530885964632,0.017763687815750016,0.8633576431622108
7,5,20261201,0.2055914849612034,1.0,0.2718059118975092,0.02654221800190431,0.990072199371126,0.9571007704293286,0.9946309943993886,0.9077191904739097,1.0,0.24730660617351533,0.021905961513726247,0.9899756474627389,0.9638868186208936,0.9939363072315852,0.9833333333333333,0.843843279282252,1.0,0.7495357307185114,0.6953885349552188,1.0,0.9557522123893806,0.3601022227997127,1.850556094247577e-05,4.626390235618942e-07,0.3490813835745452,0.015514424243398632,0.972833851724863,0.011873208556789906,0.8012664290765922,0.0124131722812308,0.8688728565971057,0.017806814579914013,0.7954592992862065,0.023021345034552117,0.6668415607884526,0.017344007470334568,0.9577856571724017
8,5,20261201,0.20262958119209443,1.0,0.27283342789720605,0.024873371960388288,0.9910511608476992,0.9553502096070183,0.9927755510365521,0.9011842904267487,1.0,0.25260988287627695,0.021120030210456914,0.9899650338623259,0.962341414226426,0.9917597012387381,0.9666666666666667,0.8449534472492006,1.0,0.7369295403493189,0.7626708561340264,1.0,0.9557522123893806,0.3655408778771641,1.7872856954063294e-05,4.4682142385158226e-07,0.3490813835745452,0.014818521808289612,0.9662396198759476,0.011422765128857766,0.8103821210563182,0.012480571784544736,0.8077147079010805,0.0167088280703562,0.8645894070466359,0.022044286224991085,0.7229827467973033,0.01714723393670283,0.897812066723903
9,5,20261201,0.2000773168168962,1.0,0.26656508476093965,0.024085679702046843,0.9913120722329175,0.9586194411472038,0.9956715001000298,0.9074941544621079,1.0,0.2422546747657988,0.019961194833740592,0.9910208059681787,0.9671246687571208,0.9950238168239594,0.9666666666666667,0.8534908006588618,1.0,0.766974610169377,0.7476615061802147,1.0,0.9469026548672567,0.3644917848450567,1.714429111656884e-05,4.286072779142209e-07,0.3490813835745452,0.014966087919310667,0.8738922408471504,0.011144074919866399,0.8030091244727373,0.01172401716466993,0.809677229821682,0.018041505499665315,0.8995165913055341,0.020828255023419236,0.7603117893139522,0.01673604527216715,0.9745378327866395
10,5,20261201,0.1976802011486143,1.0,0.25670633564392725,0.023894877224746678,0.9921606344205361,0.9609729585824189,0.9954062340436158,0.94667038542253,1.0,0.2373754981905222,0.02004380125241975,0.9913684129714966,0.9680551340182623,0.9945628960927327,0.9833333333333333,0.8934155215819677,1.0,0.7255789547894909,0.814945450926249,1.0,0.9557522123893806,0.34581544074633747,1.6329025568122654e-05,4.082256392030663e-07,0.34581544074633747,0.015212364816882958,0.9170605561385552,0.011034303680450346,0.8443086669469874,0.011936205231662219,0.9727043660978476,0.016679939344370117,0.8917701512575149,0.02017444305626365,0.739950759584705,0.01696880901581608,0.9946986294041077
11,5,20261201,0.19530890544669496,1.0,0.2602903694466308,0.023701323437745923,0.9922313312689464,0.9581687507806,0.9955720923565052,0.8247144551188857,1.0,0.23769460005892648,0.019618215166135794,0.99143944548236,0.9662607226106855,0.9949117067787382,0.9833333333333333,0.7640643619828754,1.0,0.754574355298439,0.6323807977997096,1.0,0.9557522123893806,0.3528492819231403,1.5437312746024534e-05,3.859328186506133e-07,0.34581544074633747,0.014331762197737892,0.8937749860808253,0.010707220786328738,0.7267448823899031,0.011362643486548526,0.7663800656795502,0.016476492158835752,0.743899850298961,0.020980815632113566,0.6183433697248498,0.016146935489571964,0.835242995309333
12,5,20261201,0.19285314120352268,1.0,0.2620900427577672,0.02358810708478645,0.992711791727278,0.9582840619263826,0.9955520707148092,0.8677491417637577,1.0,0.23872297555208205,0.019866345108797152,0.9921229223410288,0.9659117331107457,0.9949117067787382,0.9833333333333333,0.8080179899930954,1.0,0.7447690809458758,0.6807687757289516,1.0,0.9557522123893806,0.3519423167925464,1.4480366456396193e-05,3.620091614099048e-07,0.34581544074633747,0.015118728671222926,0.9654838927090168,0.011537908981942261,0.7957896300281088,0.011341048442409374,0.7616610563049714,0.01644345681221845,0.8758804218222698,0.021187067163797715,0.6449114960928758,0.016609606323375676,0.8043814338743687
13,5,20261201,0.19080766757639747,1.0,0.2656208786699507,0.024505797307938337,0.9919677809432701,0.9568989168714594,0.9947177312992237,0.9360651316466155,1.0,0.24360120569666227,0.02098863970798751,0.9912585904200871,0.9647709793514676,0.993780795401997,0.9833333333333333,0.8816367503669527,1.0,0.7267445207169626,0.7946664643498649,1.0,0.9557522123893806,0.3518357705927089,1.347022085406288e-05,3.36755521351572e-07,0.34581544074633747,0.015312943581375294,0.9077169387290875,0.012156083427059153,0.8236096136892835,0.012185224919812753,0.8453872801115115,0.015978414276226736,0.9707241304218769,0.02098105228700054,0.7449116874486208,0.017365483064592506,0.9974708192050457
14,5,20261201,0.18887804111258852,1.0,0.25930602175218087,0.023050875075299432,0.992593502998352,0.9589231570561727,0.9952296003147408,0.8403402324076052,1.0,0.23650791284938652,0.019578182924952774,0.992058981458346,0.9660440511173672,0.9944002916415532,0.9833333333333333,0.8028107421265708,1.0,0.7242200925814367,0.7243893884979518,1.0,0.9557522123893806,0.34588978146663485,1.2419579106074066e-05,3.1048947765185165e-07,0.34581544074633747,0.014613731280163241,0.9173958583424489,0.01149254257325083,0.734493677256008,0.011807541458013777,0.7578323323279619,0.015480141883017495,0.894464734569192,0.01830339326018778,0.6672722437729438,0.016185301505417252,0.8454055856913328
15,5,20261201,0.18720514892807438,1.0,0.26267189005458796,0.02380411142690314,0.9925620321874266,0.9597630079145785,0.9954117684452622,0.7995827171537612,1.0,0.2365570157766342,0.019831216578475305,0.9918315059608883,0.9686632325251897,0.9944208300775952,0.9833333333333333,0.7496498434080018,1.0,0.743522286019494,0.6696434949351623,1.0,0.9557522123893806,0.3507845321085923,1.1341653642007254e-05,2.835413410501813e-07,0.34581544074633747,0.015734919126650006,0.841723844781518,0.011818013345085395,0.6784959516798457,0.01210287154147712,0.7746691518773635,0.015726994955912232,0.7745699888716141,0.020765124368093288,0.630159106105566,0.01603575118157702,0.7982810211678346
16,5,20261201,0.18471842639976077,1.0,0.25283404290676115,0.022030634143286282,0.9928150567743513,0.9627357686007464,0.9959530936347114,0.8034657407689978,1.0,0.22997891166143947,0.01828577282010681,0.9921987215677898,0.9698346485694249,0.9955761945909924,1.0,0.7528986487123701,1.0,0.7184425962973485,0.6731524905272289,1.0,0.9557522123893806,0.3345281879622178,1.025e-05,2.5625e-07,0.3345281879622178,0.013959597031741093,0.7753567518045504,0.010491729715916638,0.762561148032546,0.010893003407788152,0.7534212579329809,0.015872470481554046,0.7491730871920784,0.019012624541452774,0.6517278510456284,0.014539067718821267,0.8251518073181311
17,5,20261201,0.18375362077624433,1.0,0.2533320258612986,0.02266943734139204,0.9925775830392485,0.9620997486291109,0.9960012078285218,0.8741177042325338,1.0,0.23223255740271675,0.018967524194158612,0.991881455315484,0.9686502466599146,0.9951563513941235,0.9833333333333333,0.8247607588768006,1.0,0.7079330971546932,0.7046722247537258,1.0,0.9557522123893806,0.3387025058906866,9.15834635799275e-06,2.289586589498187e-07,0.3345281879622178,0.014144175691762939,0.8772939628611008,0.010903020889963954,0.779540252002577,0.01116346129468487,0.7969942189753055,0.017492996068904178,0.836426280066371,0.020342395371214177,0.7566470174739758,0.015135617331058409,0.9016628541052342
18,5,20261201,0.18150393655006256,1.0,0.2554086590254748,0.02180790435867729,0.9927191586406142,0.9619234599449017,0.9961418714788225,0.8174890595453757,1.0,0.23108266298141744,0.018390569359891945,0.9918132156133652,0.9688537895679474,0.9953694499201244,0.9833333333333333,0.7657750508851475,1.0,0.7332039760277335,0.6916461259917875,1.0,0.9557522123893806,0.34380472440389787,8.080420893925936e-06,2.020105223481484e-07,0.3345281879622178,0.014690649430849589,0.8386873051524162,0.010503971876460128,0.7226070407157142,0.011542991520642924,0.7415310484667619,0.015602101868717,0.8110316380858421,0.018737385577211777,0.639064576352636,0.01558558913723876,0.8417286671698093
19,5,20261201,0.18042027596901689,1.0,0.2597271634196794,0.021764695013148917,0.99206356604894,0.9606320107424701,0.9954350131529349,0.8404770029915704,1.0,0.23561506817738215,0.018392172776576544,0.9914687030845218,0.9679100503524144,0.9945960299836265,0.9833333333333333,0.7886337508757909,1.0,0.7323970521709561,0.6738609845659375,1.0,0.9557522123893806,0.3472050935487861,7.029779145937124e-06,1.757444786484281e-07,0.3345281879622178,0.014036099117947742,0.8502935825536648,0.010955188972487425,0.7408053671941162,0.011263401932471122,0.7805068157613277,0.01523580316764613,0.7805275838201244,0.01859561131762651,0.6791373267769814,0.01506630273652263,0.9005318478991587
20,5,20261201,0.17871202592634491,1.0,0.25317878380969716,0.021429018736644476,0.9927292106328187,0.963548892515677,0.9958396626843347,0.8106178886360592,1.0,0.2280046556558874,0.017860036185528668,0.9918289883269205,0.970536916454633,0.9950884954796897,0.9833333333333333,0.758352334631814,1.0,0.7335385841078463,0.6612904710052288,1.0,0.9522123895915209,0.3416636797924221,6.01963354360381e-06,1.5049083859009523e-07,0.3345281879622178,0.013698877413601925,0.8009819816797972,0.00988536552079798,0.7240270093083382,0.010742593040534605,0.73372866474092,0.016182465835784872,0.8394135822852452,0.017562142903140437,0.6422425677068532,0.015097858161122227,0.8097202140837908
21,5,20261201,0.1774536713388645,1.0,0.25838108501500556,0.022087454361220202,0.9925887043829318,0.9619904175952628,0.9953836798667908,0.8136567360825009,1.0,0.23548090358575186,0.018568471485438446,0.991736019982232,0.9687808675898446,0.9945565422375997,0.9833333333333333,0.7524961955017514,1.0,0.7303367756900534,0.6387709922495142,1.0,0.9557522123893806,0.34632213243538834,5.06268725397547e-06,1.2656718134938674e-07,0.3345281879622178,0.014605405800587808,0.8215585260341565,0.01175241762442359,0.7265725885828336,0.011621999716347394,0.7662101849913597,0.015587370559417953,0.7700278248017033,0.019271810692346965,0.6333943057184418,0.015196372017574808,0.797213754678766
22,5,20261201,0.17617356695700437,1.0,0.2518664902559033,0.0211603877203608,0.9928454215879794,0.963873251720711,0.9957201683962786,0.7986440739145986,1.0,0.22940155760281616,0.017749537856111094,0.9920003126064937,0.9711460226111942,0.994876985086335,0.9833333333333333,0.7449751921825939,1.0,0.7294126915193238,0.6243209374689422,1.0,0.9557522123893806,0.34114326418204377,4.170974431877349e-06,1.0427436079693371e-07,0.3345281879622178,0.013952648899673174,0.8173017602413892,0.010155267460504547,0.7116897725189726,0.011182949120605674,0.7190259516239166,0.015702214507230867,0.7906859887142976,0.019746320419168722,0.6170750598112742,0.014222145912935958,0.8140726237247388
23,5,20261201,0.17494284588222703,1.0,0.2551100017019996,0.02139791737276095,0.9926462018931353,0.9628210209034107,0.9955319190466846,0.8224094262829533,1.0,0.2327669686741299,0.017882802929832704,0.9920523961385092,0.9699671006864972,0.9947712295585208,0.9833333333333333,0.770994439555539,1.0,0.743138054039626,0.6685893403745331,1.0,0.9557522123893806,0.34654409565559,3.3557088834311623e-06,8.389272208577905e-08,0.3345281879622178,0.013871708428875232,0.8077508870512247,0.01015168448308638,0.7234747947504123,0.011230033554602415,0.7824826056758563,0.015297669715558489,0.8327034069846074,0.018645543478972588,0.623840759228915,0.015097426378633826,0.8557141553610563
24,5,20261201,0.1738465384968246,1.0,0.25194931667712,0.021138578046251227,0.9930530605492769,0.9634566408616525,0.995790896150801,0.8084024804609793,1.0,0.22855465308659606,0.01755162257080277,0.9924880127112071,0.9712807112269931,0.9950521849923664,1.0,0.7569647224413024,1.0,0.7429982451474773,0.6345407857304126,1.0,0.9557522123893806,0.3384617705759295,2.6271430459367096e-06,6.567857614841773e-08,0.3345281879622178,0.013851329152627538,0.8282102163881063,0.009923013856556888,0.6993297446519137,0.01091893889727847,0.7673940169314544,0.015187791057784731,0.8030134494105975,0.018445590501263116,0.614825094367067,0.014862123316076274,0.829015809794267
25,5,20261201,0.17277135216217074,1.0,0.25350004100689183,0.02122241215159496,0.9929373195877782,0.9631057895995953,0.9957196396810037,0.8095032358611072,1.0,0.22991859945986007,0.017711037193011078,0.9921755125125249,0.9704528904623455,0.9950521846612295,1.0,0.7576674785878923,1.0,0.7316373315005176,0.6371403056963355,1.0,0.9557522123893806,0.3373367783321011,1.99443905752423e-06,4.986097643810574e-08,0.3345281879622178,0.013647959512309172,0.8190664634729425,0.010174377941681693,0.6838742610067129,0.011046235696024571,0.7785414711882671,0.015208317424791555,0.8089657821382086,0.018401072696239376,0.6004174676413337,0.014668103143534002,0.855139430363973
26,5,20261201,0.17244745781127777,1.0,0.25215218583190885,0.02105715650789164,0.9930057046590028,0.9637565363336492,0.9959066366707837,0.8080564050762742,1.0,0.2283797840691275,0.017604000116181042,0.9924532900253932,0.9712659643756019,0.9951910734176636,1.0,0.7549219972557492,1.0,0.728483085743094,0.635668434400474,1.0,0.9557522123893806,0.3355321649327552,1.4655535379514144e-06,3.6638838448785355e-08,0.3345281879622178,0.013745220446920333,0.8216083349660039,0.010147119069976422,0.6909380281964937,0.011293300754429463,0.754540336628755,0.01544827905211908,0.8024424690753221,0.019019235334902383,0.6320553692678611,0.014157609645432482,0.8279474484423797
27,5,20261201,0.17154087173597266,1.0,0.2531846397728832,0.020972636740447748,0.9927728118719878,0.963587647234952,0.9958371921821877,0.8083899807046961,1.0,0.22987183870540726,0.017608586155499022,0.9921044786771138,0.9705356733666526,0.9951216290394466,0.9833333333333333,0.758466541270415,1.0,0.7401187186483789,0.652441293792387,1.0,0.9557522123893806,0.34391505501424435,1.0471375294934161e-06,2.61784382373354e-08,0.3345281879622178,0.013796170531228806,0.814046424254775,0.010470698772890804,0.7041445722182592,0.011317993750950942,0.7765146636714538,0.015071748897510891,0.803322934359312,0.0179895821318496,0.6155492786938945,0.014961413197064151,0.837221394230922
28,5,20261201,0.17104893259497153,1.0,0.2530478196563544,0.02081615680966664,0.9929055739332129,0.9634929319222768,0.995648318529129,0.7974115546102877,1.0,0.23036423648397128,0.0174625429428286,0.9922703001234267,0.9704594890276591,0.9949117071098752,0.9833333333333333,0.7461475854118665,1.0,0.7338602980681225,0.6371623868435885,1.0,0.9557522123893806,0.3428685237525165,7.444528562272198e-07,1.861132140568049e-08,0.3345281879622178,0.013539542130699071,0.8083775995920102,0.010317694346304052,0.690522177455326,0.011065778908474991,0.7550997227430344,0.015084253942283491,0.8055414444456498,0.018315757846964213,0.6081684185191989,0.014559698273660614,0.8091761632512013
29,5,20261201,0.17079877421880763,1.0,0.25221506588988835,0.02080791960125444,0.9929604671619556,0.9642526736965886,0.9958828950369799,0.7973613562407317,1.0,0.22928812089893552,0.01747072497641461,0.9924532896942563,0.9710980031225417,0.9951910734176636,1.0,0.7454353953401248,1.0,0.7306640895858275,0.6392264640436763,1.0,0.9557522123893806,0.33644139813359975,5.613059535408847e-07,1.4032648838522113e-08,0.3345281879622178,0.013731914341527348,0.8069477502256632,0.01020612996556641,0.693057619780302,0.011059641763373899,0.7576938973118862,0.015120162087259813,0.7878037010629971,0.01842804017942399,0.6113833377758662,0.014689575201676538,0.815726084758838
