level,translation_mm,rotation_deg,episodes,successes,success_rate,ci95_lower,ci95_upper,wrong_object_contact_rate,target_contact_rate,mean_grounding_error_cm,mean_target_class_accuracy,mean_initial_frame_pixel_delta,mean_initial_frame_psnr_db,mean_steps
0,0.0,0.0,120,118,0.9833333333333333,0.941264037027841,0.9954174354340789,0.0,1.0,0.695366913501198,1.0,0.0,,86.71666666666667
1,5.0,1.0,120,119,0.9916666666666667,0.9543037087549505,0.998527444266658,0.0,0.9833333333333333,1.3588146750798806,1.0,6.693975871801376,20.185401225017426,88.15833333333333
2,10.0,2.0,120,116,0.9666666666666667,0.917419662440894,0.9869624489016494,0.0,0.9916666666666667,2.4013774262703205,1.0,11.562995588779449,16.86684158074865,94.18333333333334
3,15.0,3.0,120,110,0.9166666666666666,0.8533776783593434,0.9541063496250703,0.025,0.9583333333333334,3.463768995229686,1.0,15.771385606129964,15.156717423611527,108.70833333333333
4,20.0,4.0,120,94,0.7833333333333333,0.7014563746709164,0.8476327643584851,0.03333333333333333,0.925,5.271319484303576,1.0,19.408801225821176,14.05737569836094,123.44166666666666
