source_run,input_dir,scene_seed,perturbation_seed,episode_rows
seed_20262001,results/benchmarks/camera_extrinsics/seed_20262001,20262001,25262012,300
seed_20262011,results/benchmarks/camera_extrinsics/seed_20262011,20262011,25262022,300
